Sample	Iba1	G-CSF	Eotaxin	GM-CSF	IFN-gamma	IL-1alpha	IL-1beta	IL-2	IL-4	IL-3	IL-5	IL-6	IL-7	IL-9	IL-10	IL-12p40	IL-12p70	LIF	IL-13	LIX	IL-15	IL-17	IP-10	KC	MCP-1	MIP-1alpha	MIP-1beta	M-CSF	MIP-2	MIG	RANTES	VEGF	TNF-alpha
1	0.028732927	27	56	25	76	63	26	1346	109	38	20	38	37	244.5	29	34	27	27.5	258	70	38	83.5	320	154	23	179.5	50	27	25	31	53.5	88.5	15
2	0.028551557	31	42	26.5	71	46	22	1149	121	38	22.5	48.5	44	149.5	27	33	22	29	195	87.5	38	75	263.5	123	22	79	46	28.5	28	28	57.5	61	16
3	0.02644766	31	44	22	70	55	23	1016	138	37.5	20	36	32	101.5	25	30	21	25.5	142	73	34.5	68.5	232.5	91	18	45.5	50	27	23	26	46	46	14
4	0.024725249	25	49.5	23	72	45	28	1384.5	107	40	18	32	34	199.5	25	30	24	24.5	174	73.5	37	73	275.5	123	21	69	46	26	26	31	45	59	14
5	0.023836897	25	37	21	61	49.5	23	1017	144	32.5	19	30	29	102	24	28	21	24	138	64	31	59	184	74	18	35	39	25	21	23	37	43	14
6	0.022818938	30	38.5	25	71	62.5	22	936.5	109	41	21	37.5	32	87.5	27	31.5	22	26	164	79.5	37	70.5	184	75	21	33	47	27	23.5	26.5	43	38	14
7	0.021916636	36	35.5	20	62	43	20	995	131	35	17	34	34	117	22	30	20	25	104	72	32	54	169	85	20.5	31	43	26	21	24	40	40	15
8	0.021200218	35	37.5	28	72	52	27	934	109.5	40.5	21.5	39	38	85	29.5	34	25.5	27	112	76	39	62	175.5	87	22	37.5	53.5	30	24.5	31	39	41	19
Background		24	15	16	65.5	25	13	16.5	13	29.5	12	29	25	15.5	15	29	15.5	20	72	68	27	21	20	30.5	17	16	34	19.5	15	15	28	19	13
Background		21.5	20	19	62.5	21	12	16.5	13	31	15	32	23	15	13	27	14	18.5	67	99	26.5	25	31	54	18	13	37.5	19	15.5	16	28	21	13
